,sentence_index,sentence_original,clause,term,opinion,category,polarity,polarity_score
36,70,great apartment in a nice quiet residential area in ho chi minh city,great apartment in a nice quiet residential area in ho chi minh city,apartment,great,Branding,Positive,0.989
37,72,just behind the apartment you walk down narrow roads and as it opens up you can see so many different food vendors selling their products and such cheap prices,just behind the apartment you walk down narrow roads,,behind the apartment,Amenity,Neutral,0.6132
38,72,just behind the apartment you walk down narrow roads and as it opens up you can see so many different food vendors selling their products and such cheap prices,as it opens up you can see so many different food vendors selling their products,food vendors,many different,Amenity,Positive,0.7997
39,72,just behind the apartment you walk down narrow roads and as it opens up you can see so many different food vendors selling their products and such cheap prices,and such cheap prices,prices,cheap,Amenity,Positive,0.9932
40,73,the host is a great guy very accommodating and helpful will give you loads of tips of where to go and best way to get there etc,the host is a great guy,host,great,Service,Positive,0.9301
41,73,the host is a great guy very accommodating and helpful will give you loads of tips of where to go and best way to get there etc,very accommodating,host,accommodating,Service,Positive,0.994
42,73,the host is a great guy very accommodating and helpful will give you loads of tips of where to go and best way to get there etc,helpful,host,helpful,Service,Positive,0.9778
43,73,the host is a great guy very accommodating and helpful will give you loads of tips of where to go and best way to get there etc,will give you loads of tips of where to go and best way to get there etc,host,give you loads of tips,Service,Positive,0.9877
44,75,washing machine and dryer worked fine too as we used it to wash clothes,washing machine and dryer worked fine too as we used it to wash clothes,"washing machine,dryer",worked fine,Facility,Positive,0.7613
45,79,didn t get to see the gym as it was closed for lunar new year,didn t get to see the gym as it was closed for lunar new year,gym,closed,Amenity,Negative,0.3907
46,81,fantastic stay amazing host first class,fantastic stay,stay,fantastic,Experience,Positive,0.9953
47,81,fantastic stay amazing host first class,amazing host,host,amazing,Service,Positive,0.9934
48,81,fantastic stay amazing host first class,first class,,,Experience,Positive,0.9599
49,82,excellent apartment with everything you need for a comfortable stay modern clean and nice comfortable bed etc,excellent apartment with everything you need for a comfortable stay,"apartment,stay","excellent,comfortable",Branding,Positive,0.9977
50,82,excellent apartment with everything you need for a comfortable stay modern clean and nice comfortable bed etc,modern clean and nice comfortable bed etc,bed,"modern, clean, nice, comfortable",Facility,Positive,0.9981
51,83,great facilities also with a 7 11 and larger mart onsite and a lovely rooftop pool to relax in,great facilities,facilities,great,Facility,Positive,0.9978
52,83,great facilities also with a 7 11 and larger mart onsite and a lovely rooftop pool to relax in,also with a 7 11 and larger mart onsite,"7 11,mart",larger,Amenity,Positive,0.8544
53,83,great facilities also with a 7 11 and larger mart onsite and a lovely rooftop pool to relax in,and a lovely rooftop pool to relax in,rooftop pool,lovely,Facility,Positive,0.9816
54,87,nothing the stay was first class,nothing the stay was first class,stay,"nothing,first class",Experience,Negative,0.9876
55,89,owner was brilliant helped us to find nice locations for new years and recommended places for us to visit through whatsapp,owner was brilliant,owner,brilliant,Service,Positive,0.9608
56,89,owner was brilliant helped us to find nice locations for new years and recommended places for us to visit through whatsapp,helped us to find nice locations for new years,"owner,locations","helped us,nice",Service,Positive,0.9795
57,89,owner was brilliant helped us to find nice locations for new years and recommended places for us to visit through whatsapp,recommended places for us to visit through whatsapp,places,recommended,Loyalty,Positive,0.8381
58,97,the location was spot on just a short walk to landmark 81,the location was spot on,location,spot on,Amenity,Positive,0.9933
59,97,the location was spot on just a short walk to landmark 81,just a short walk to landmark 81,location,short walk to landmark 81,Amenity,Positive,0.9374
60,101,the washing machine and dryer in the apartment came in handy,the washing machine and dryer in the apartment came in handy,"washing machine,dryer",in handy,Facility,Positive,0.8358
61,109,very spacious property with really good amenities incredible view of the city and a great pool to relax in when walking around gets too hot,very spacious property,property,very spacious,Branding,Positive,0.9972
62,109,very spacious property with really good amenities incredible view of the city and a great pool to relax in when walking around gets too hot,really good amenities,amenities,good,Amenity,Positive,0.9957
63,109,very spacious property with really good amenities incredible view of the city and a great pool to relax in when walking around gets too hot,incredible view of the city,view,incredible,Experience,Positive,0.9954
64,109,very spacious property with really good amenities incredible view of the city and a great pool to relax in when walking around gets too hot,a great pool to relax in when walking around gets too hot,pool,great,Facility,Positive,0.7947
65,111,lovely stay great host,lovely stay,stay,lovely,Experience,Positive,0.9942
66,111,lovely stay great host,great host,host,great,Service,Positive,0.9848
67,112,great place and location,great place,place,great,Branding,Positive,0.9912
68,112,great place and location,great location,location,great,Amenity,Positive,0.9776
69,121,our stay at diny s aparthotel was exceptional the room comes perfectly equipped for city exploration and the skyline view is stunning,our stay at diny s aparthotel was exceptional,stay,exceptional,Experience,Positive,0.9902
70,121,our stay at diny s aparthotel was exceptional the room comes perfectly equipped for city exploration and the skyline view is stunning,the room comes perfectly equipped for city exploration,room,perfectly equipped,Facility,Positive,0.9547
71,121,our stay at diny s aparthotel was exceptional the room comes perfectly equipped for city exploration and the skyline view is stunning,the skyline view is stunning,skyline view,stunning,Experience,Positive,0.9924
72,124,what truly sets this place apart is diny himself,what truly sets this place apart is diny himself,place,apart,Branding,Positive,0.984
73,132,we can see the landmark tower and other sight,we can see the landmark tower and other sight,"landmark tower,sight",can see,Experience,Neutral,0.6636
74,133,the pool was nice too,the pool was nice too,pool,nice,Facility,Positive,0.9771
75,135,landmark shopping mall is only a 7 minutes walk,landmark shopping mall is only a 7 minutes walk,landmark shopping mall,only a 7 minutes walk,Amenity,Positive,0.9084
76,137,the neighborhood,the neighborhood,neighborhood,,Amenity,Neutral,0.7913
77,140,thank you diny for being a wonderful host,thank you diny for being a wonderful host,host,wonderful,Service,Positive,0.9892
78,142,zilch,zilch,,,Experience,Neutral,0.7559
79,145,everything has been perfect,everything has been perfect,,perfect,Experience,Positive,0.9943
80,150,we ll be back soon,we ll be back soon,,back soon,Loyalty,Positive,0.9722
81,154,we had an amazing stay at the manor 2,we had an amazing stay at the manor 2,stay,amazing,Experience,Positive,0.9941
82,158,the apartment was comfortable and had everything we needed,the apartment was comfortable,apartment,comfortable,Experience,Positive,0.996
83,158,the apartment was comfortable and had everything we needed,had everything we needed,,had everything we needed,Experience,Positive,0.9873
84,159,the rooftop pool was great never busy,the rooftop pool was great,pool,great,Facility,Positive,0.9818
85,159,the rooftop pool was great never busy,never busy,pool,never busy,Amenity,Positive,0.9544
86,163,i would highly recommend this aparthotel,i would highly recommend this aparthotel,aparthotel,highly recommend,Loyalty,Positive,0.9972
87,164,it s perfect,it s perfect,it,perfect,Branding,Positive,0.9964
88,165,cute clean room and fully functional kitchen with nice views,cute clean room,room,"cute,clean",Facility,Positive,0.9966
89,165,cute clean room and fully functional kitchen with nice views,fully functional kitchen,kitchen,functional,Facility,Positive,0.9961
90,165,cute clean room and fully functional kitchen with nice views,with nice views,view,nice,Experience,Positive,0.9865
91,167,near landmark 81 and has a view of the tower,near landmark 81,,near,Amenity,Positive,0.7486
92,167,near landmark 81 and has a view of the tower,has a view of the tower,,has a view of the tower,Experience,Positive,0.8577
93,176,diny is very accommodating and helpful,diny is very accommodating,,very accommodating,Service,Positive,0.9897
94,176,diny is very accommodating and helpful,diny is very helpful,,very helpful,Service,Positive,0.9858
95,180,perfect i ll always stay here when i come to ho chi minh,perfect,,perfect,Experience,Positive,0.9956
96,180,perfect i ll always stay here when i come to ho chi minh,i ll always stay here when i come to ho chi minh,,always stay here,Loyalty,Positive,0.8657
97,181,i live in hotels around the world and am a genius l3 member of booking,i live in hotels around the world,hotel,around the world,Experience,Neutral,0.9312
98,181,i live in hotels around the world and am a genius l3 member of booking,am a genius l3 member of booking,l3 member of booking,genius,Experience,Positive,0.7547
99,183,this is the best value for money place i ve ever stayed,this is the best value for money place i ve ever stayed,place,best value for money,Amenity,Positive,0.9975
100,184,it is spacious clean 10 mins grab from benh thanh market and best of all silent and night time,it is spacious,,spacious,Facility,Positive,0.9942
101,184,it is spacious clean 10 mins grab from benh thanh market and best of all silent and night time,it is clean,,clean,Facility,Positive,0.9916
102,184,it is spacious clean 10 mins grab from benh thanh market and best of all silent and night time,10 mins grab from benh thanh market,,10 mins grab,Amenity,Neutral,0.9806
103,184,it is spacious clean 10 mins grab from benh thanh market and best of all silent and night time,and best of all silent and night time,night time,best of all silent,Experience,Positive,0.9578
104,186,nothing negative to say especially when you consider the price point,nothing negative to say,,nothing negative,Experience,Positive,0.9748
105,186,nothing negative to say especially when you consider the price point,especially when you consider the price point,price point,especially when you consider,Amenity,Neutral,0.9643
106,189,diny the property owner was super helpful too,diny the property owner was super helpful too,,super helpful,Service,Positive,0.9649
107,197,very good,very good,,very good,Experience,Positive,0.9977
108,198,very friendly host great view of the city comfortable and close to most main attractions of the city,very friendly host,host,very friendly,Service,Positive,0.9805
109,198,very friendly host great view of the city comfortable and close to most main attractions of the city,great view of the city,view,great,Experience,Positive,0.9947
110,198,very friendly host great view of the city comfortable and close to most main attractions of the city,comfortable and close to most main attractions of the city,attraction,"comfortable,close",Amenity,Positive,0.9951
111,200,the manor is a bit of an institution in saigon one of the first residence blocks built for the upmarket segment of binh thanh,the manor is a bit of an institution in saigon,manor,a bit of an institution,Amenity,Neutral,0.7403
112,200,the manor is a bit of an institution in saigon one of the first residence blocks built for the upmarket segment of binh thanh,one of the first residence blocks built for the upmarket segment of binh thanh,residence block,built for the upmarket segment,Branding,Positive,0.5928
113,202,plenty of strong hot water for the shower all the necessary kitchenware to be able to cook reheat simple meals netflix on the tv both a washing machine and dryer a vacuum cleaner full size fridge river and city views a lively market place in the warren behind the residences and a host that cannot do enough to make sure you are getting the value that is advertised,plenty of strong hot water for the shower,hot water,plenty of strong,Facility,Positive,0.9855
114,202,plenty of strong hot water for the shower all the necessary kitchenware to be able to cook reheat simple meals netflix on the tv both a washing machine and dryer a vacuum cleaner full size fridge river and city views a lively market place in the warren behind the residences and a host that cannot do enough to make sure you are getting the value that is advertised,all the necessary kitchenware to be able to cook reheat simple meals,kitchenware,all the necessary,Facility,Positive,0.9442
115,202,plenty of strong hot water for the shower all the necessary kitchenware to be able to cook reheat simple meals netflix on the tv both a washing machine and dryer a vacuum cleaner full size fridge river and city views a lively market place in the warren behind the residences and a host that cannot do enough to make sure you are getting the value that is advertised,netflix on the tv,tv,,Service,Neutral,0.883
116,202,plenty of strong hot water for the shower all the necessary kitchenware to be able to cook reheat simple meals netflix on the tv both a washing machine and dryer a vacuum cleaner full size fridge river and city views a lively market place in the warren behind the residences and a host that cannot do enough to make sure you are getting the value that is advertised,both a washing machine and dryer,"washing machine,dryer",,Facility,Neutral,0.9695
117,202,plenty of strong hot water for the shower all the necessary kitchenware to be able to cook reheat simple meals netflix on the tv both a washing machine and dryer a vacuum cleaner full size fridge river and city views a lively market place in the warren behind the residences and a host that cannot do enough to make sure you are getting the value that is advertised,a vacuum cleaner,vacuum cleaner,,Facility,Neutral,0.7032
118,202,plenty of strong hot water for the shower all the necessary kitchenware to be able to cook reheat simple meals netflix on the tv both a washing machine and dryer a vacuum cleaner full size fridge river and city views a lively market place in the warren behind the residences and a host that cannot do enough to make sure you are getting the value that is advertised,full size fridge,fridge,full size,Facility,Positive,0.9183
119,202,plenty of strong hot water for the shower all the necessary kitchenware to be able to cook reheat simple meals netflix on the tv both a washing machine and dryer a vacuum cleaner full size fridge river and city views a lively market place in the warren behind the residences and a host that cannot do enough to make sure you are getting the value that is advertised,river and city views,river and city views,,Experience,Positive,0.907
120,202,plenty of strong hot water for the shower all the necessary kitchenware to be able to cook reheat simple meals netflix on the tv both a washing machine and dryer a vacuum cleaner full size fridge river and city views a lively market place in the warren behind the residences and a host that cannot do enough to make sure you are getting the value that is advertised,a lively market place in the warren behind the residences,market place,lively,Amenity,Positive,0.9249
121,202,plenty of strong hot water for the shower all the necessary kitchenware to be able to cook reheat simple meals netflix on the tv both a washing machine and dryer a vacuum cleaner full size fridge river and city views a lively market place in the warren behind the residences and a host that cannot do enough to make sure you are getting the value that is advertised,a host that cannot do enough to make sure you are getting the value that is advertised,host,cannot do enough to make sure you are getting the value that is advertised,Service,Negative,0.7096
122,203,nothing really,nothing really,,nothing really,Experience,Negative,0.7895
123,206,everything great location diny was super friendly and communicative,everything great,,great,Experience,Positive,0.9881
124,206,everything great location diny was super friendly and communicative,location,location,,Amenity,Neutral,0.5603
125,206,everything great location diny was super friendly and communicative,diny was super friendly,,super friendly,Service,Positive,0.9826
126,206,everything great location diny was super friendly and communicative,diny was communicative,,communicative,Service,Positive,0.9896
127,215,beautiful apartment,beautiful apartment,apartment,beautiful,Branding,Positive,0.9934
128,218,great place to stay a short ride into d1,great place to stay,place,great,Branding,Positive,0.9963
129,218,great place to stay a short ride into d1,a short ride into d1,ride,short,Amenity,Positive,0.8437
130,227,i love the washer dryer all in one,i love the washer dryer all in one,washer dryer,love,Facility,Positive,0.9821
131,229,none of them,none of them,,,Loyalty,Negative,0.9377
132,237,overall i am satisfied for my short time visit,overall i am satisfied for my short time visit,short time visit,satisfied,Experience,Positive,0.8251
133,238,property is very clean and owner of the apartment is contacted very early through whatsapp and made check in very smoothly,property is very clean,property,very clean,Facility,Positive,0.9943
134,238,property is very clean and owner of the apartment is contacted very early through whatsapp and made check in very smoothly,owner of the apartment is contacted very early through whatsapp,owner,early,Service,Positive,0.5856
135,238,property is very clean and owner of the apartment is contacted very early through whatsapp and made check in very smoothly,made check in very smoothly,check in,very smoothly,Service,Positive,0.989
136,241,very good,very good,,very good,Experience,Positive,0.9977
137,243,this is the best place in the city,this is the best place in the city,place,best,Branding,Positive,0.997
138,245,my recommendations,my recommendations,,,Loyalty,Positive,0.4615
139,248,very good,very good,,very good,Experience,Positive,0.9977
140,264,none of them,none of them,,,Loyalty,Negative,0.9377
141,268,the property is very clean and in nice central location,the property is very clean,property,very clean,Facility,Positive,0.9969
142,268,the property is very clean and in nice central location,the property is in nice central location,location,nice central,Amenity,Positive,0.9932
143,277,great apartment excellent rooftop pool and view exceptional host,great apartment,apartment,great,Branding,Positive,0.977
144,277,great apartment excellent rooftop pool and view exceptional host,excellent rooftop pool and view,"rooftop pool,view",excellent,Facility,Positive,0.9913
145,277,great apartment excellent rooftop pool and view exceptional host,exceptional host,host,exceptional,Service,Positive,0.9921
146,280,all good,all good,,good,Experience,Positive,0.8809
147,281,great stay with a great host,great stay,stay,great,Experience,Positive,0.995
148,281,great stay with a great host,great host,host,great,Service,Positive,0.9848
149,286,he even came to our room to help us book a boat when we were struggling with the translation,he even came to our room to help us book a boat when we were struggling with the translation,,came to our room to help us book a boat,Service,Positive,0.829
150,287,he was very helpful and dropped everything to help us out,he was very helpful,,very helpful,Service,Positive,0.9951
151,287,he was very helpful and dropped everything to help us out,dropped everything to help us out,,dropped everything to help us out,Service,Positive,0.9566
152,288,plus we were able to get early check in,plus we were able to get early check in,check in,early,Amenity,Positive,0.9885
153,299,very comfortable stay,very comfortable stay,stay,very comfortable,Experience,Positive,0.9952
154,301,danny is an amazing host and went out of his way to help us,danny is an amazing host,host,amazing,Service,Positive,0.9921
155,301,danny is an amazing host and went out of his way to help us,went out of his way to help us,host,out of his way to help,Service,Positive,0.9809
156,304,very good,very good,,very good,Experience,Positive,0.9977
157,311,cozy stay,cozy stay,stay,cozy,Experience,Positive,0.991
158,312,i enjoyed my stay here,i enjoyed my stay here,stay,enjoyed,Experience,Positive,0.9965
159,313,good value for money and it has all the little thing you need like a washing machine hair dryer iron tv air con etc,good value for money,,good value for money,Amenity,Positive,0.987
160,313,good value for money and it has all the little thing you need like a washing machine hair dryer iron tv air con etc,it has all the little thing you need like a washing machine hair dryer iron tv air con etc,washing machine hair dryer iron tv air con,has all the little thing you need,Facility,Positive,0.9864
161,315,thank you again,thank you again,,,Service,Positive,0.9634
162,317,easy check in by whatsapp,easy check in by whatsapp,check in,easy,Service,Positive,0.8855
163,318,diny was very helpful suggesting places,diny was very helpful,,very helpful,Service,Positive,0.9824
164,318,diny was very helpful suggesting places,suggesting places,place,suggesting,Loyalty,Positive,0.9132
165,329,great location near landmark 81 sky tower and central park estate which boasts an amazing shopping centre and park right on the river,great location near landmark 81 sky tower and central park estate,location,"great,near",Amenity,Positive,0.9766
166,329,great location near landmark 81 sky tower and central park estate which boasts an amazing shopping centre and park right on the river,which boasts an amazing shopping centre and park right on the river,"shopping centre,park",amazing,Amenity,Positive,0.905
167,334,the host was very nice and helpful,the host was very nice,host,very nice,Service,Positive,0.9878
168,334,the host was very nice and helpful,the host was very helpful,host,very helpful,Service,Positive,0.9881
169,341,tout,tout,,tout,Branding,Positive,0.5979
170,345,i highly recommend it,i highly recommend it,,highly recommend,Loyalty,Positive,0.9948
171,346,the room was clean and furnished,the room was clean and furnished,room,"clean, furnished",Facility,Positive,0.9968
172,347,the contact with owner diny was very pleasant and he was extremely helpful,the contact with owner diny was very pleasant,contact with owner,pleasant,Service,Positive,0.9941
173,347,the contact with owner diny was very pleasant and he was extremely helpful,he was extremely helpful,owner,extremely helpful,Service,Positive,0.9946
174,350,very friendly and helpful host our flight was delayed he waited until 11pm,very friendly and helpful host,host,"friendly, helpful",Service,Positive,0.9849
175,350,very friendly and helpful host our flight was delayed he waited until 11pm,our flight was delayed,flight,delayed,Amenity,Negative,0.9624
176,350,very friendly and helpful host our flight was delayed he waited until 11pm,he waited until 11pm,,waited until 11pm,Experience,Negative,0.8686
177,351,apartment and swimming pool thank you,apartment and swimming pool thank you,"apartment,swimming pool",thank you,Facility,Positive,0.516
178,358,residence and seemingly luxury great welcome from diny,residence and seemingly luxury,residence,luxury,Branding,Positive,0.6943
179,358,residence and seemingly luxury great welcome from diny,great welcome from diny,,great welcome,Service,Positive,0.9435
180,362,szybki i sprawne zameldowanie,szybki i sprawne zameldowanie,,,Facility,Positive,0.9966
181,363,czyste mieszkanie wyposa one we wszystko czego potrzeba w tym pralk i suszark b d c w podr y na jedn czy dwie noce jest to wietne rozwi zanie,czyste mieszkanie,,,Facility,Positive,0.9542
182,363,czyste mieszkanie wyposa one we wszystko czego potrzeba w tym pralk i suszark b d c w podr y na jedn czy dwie noce jest to wietne rozwi zanie,wyposa one we wszystko czego potrzeba,,,Facility,Positive,0.7105
183,363,czyste mieszkanie wyposa one we wszystko czego potrzeba w tym pralk i suszark b d c w podr y na jedn czy dwie noce jest to wietne rozwi zanie,pralk i suszark,,,Facility,Negative,0.4863
184,363,czyste mieszkanie wyposa one we wszystko czego potrzeba w tym pralk i suszark b d c w podr y na jedn czy dwie noce jest to wietne rozwi zanie,b d c w podr y na jedn czy dwie noce,,,Facility,Neutral,0.7823
185,363,czyste mieszkanie wyposa one we wszystko czego potrzeba w tym pralk i suszark b d c w podr y na jedn czy dwie noce jest to wietne rozwi zanie,jest to wietne rozwi zanie,,,Facility,Positive,0.9947
186,366,wszytko jest tak jak w opisie i w najlepszym porz dku,wszytko jest tak jak w opisie,,,Facility,Positive,0.9728
187,366,wszytko jest tak jak w opisie i w najlepszym porz dku,w najlepszym porz dku,,,Facility,Positive,0.9942
188,369,excellent,excellent,,excellent,Experience,Positive,0.9974
189,371,we have a small reservation problem i booked a superior room and i got a standard room my problems solved after 4 days,we have a small reservation problem,reservation,problem,Service,Negative,0.9101
190,371,we have a small reservation problem i booked a superior room and i got a standard room my problems solved after 4 days,i booked a superior room and i got a standard room,reservation,booked a superior room and i got a standard room,Service,Negative,0.3428
191,371,we have a small reservation problem i booked a superior room and i got a standard room my problems solved after 4 days,my problems solved after 4 days,reservation,solved after 4 days,Service,Neutral,0.6768
192,376,we were greeted escorted,we were greeted,,greeted,Service,Positive,0.9855
193,376,we were greeted escorted,escorted,,escorted,Service,Positive,0.5316
194,378,and during the holidays with any questions i was helped,and during the holidays with any questions i was helped,,helped,Service,Positive,0.9914
195,379,perfect location near landmark 81,perfect location near landmark 81,location,perfect,Amenity,Positive,0.9878
196,381,on the first floor of 7eleven where you can buy food,on the first floor of 7eleven where you can buy food,7eleven,can buy food,Amenity,Neutral,0.9687
197,382,it s a nice quiet place to rest,it s a nice quiet place to rest,place,"nice, quiet",Branding,Positive,0.9979
198,383,very good,very good,,very good,Experience,Positive,0.9977
199,388,it s away from the hustle and bustle of downtown where some of the hotels are very questionable,it s away from the hustle and bustle of downtown,,away from the hustle and bustle,Amenity,Positive,0.9008
200,388,it s away from the hustle and bustle of downtown where some of the hotels are very questionable,some of the hotels are very questionable,hotels,very questionable,Branding,Negative,0.9155
201,389,i highly recommend it,i highly recommend it,,highly recommend,Loyalty,Positive,0.9948
202,395,the host welcomed us and is available without any problem,the host welcomed us,host,welcomed,Service,Positive,0.989
203,395,the host welcomed us and is available without any problem,the host is available without any problem,host,available,Service,Positive,0.9883
204,409,i don t know,i don t know,,i don t know,Experience,Neutral,0.876
205,410,very good,very good,,very good,Experience,Positive,0.9977
206,412,very helpful and nice owner very clean apartment great pool on the 25th floor which had sun until noon and was perfect to start the day relaxed before we plunged into the trouble of the city,very helpful and nice owner,owner,"very helpful, nice",Service,Positive,0.9938
207,412,very helpful and nice owner very clean apartment great pool on the 25th floor which had sun until noon and was perfect to start the day relaxed before we plunged into the trouble of the city,very clean apartment,,very clean,Branding,Positive,0.9904
208,412,very helpful and nice owner very clean apartment great pool on the 25th floor which had sun until noon and was perfect to start the day relaxed before we plunged into the trouble of the city,great pool,pool,great,Facility,Positive,0.9855
209,412,very helpful and nice owner very clean apartment great pool on the 25th floor which had sun until noon and was perfect to start the day relaxed before we plunged into the trouble of the city,on the 25th floor which had sun until noon,25th floor,had sun until noon,Experience,Positive,0.8792
210,412,very helpful and nice owner very clean apartment great pool on the 25th floor which had sun until noon and was perfect to start the day relaxed before we plunged into the trouble of the city,and was perfect to start the day relaxed before we plunged into the trouble of the city,city,"perfect, relaxed",Experience,Positive,0.9899
211,413,can definitely recommend the apartment to stay there,can definitely recommend the apartment to stay there,apartment,definitely recommend,Loyalty,Positive,0.9946
212,417,dinh was a great host the apartment had a great view of the city was very clean and spacious,dinh was a great host,,great,Service,Positive,0.9874
213,417,dinh was a great host the apartment had a great view of the city was very clean and spacious,the apartment had a great view of the city,aparment,great,Branding,Positive,0.9815
214,417,dinh was a great host the apartment had a great view of the city was very clean and spacious,was very clean,apartment,very clean,Facility,Positive,0.9944
215,417,dinh was a great host the apartment had a great view of the city was very clean and spacious,and spacious,apartment,spacious,Facility,Positive,0.9893
216,418,dinh stood by us with all our questions,dinh stood by us with all our questions,,stood by us with all our questions,Service,Positive,0.9851
217,422,it s close to the first one but it s in a confined area not too noisy and it s very accessible in the city,it s close to the first one but it s in a confined area not too noisy and it s very accessible in the city,,"not too noisy, very accessible",Amenity,Positive,0.6693
218,424,a large studio is much more comfortable than a hotel,a large studio is much more comfortable than a hotel,studio,more comfortable,Experience,Positive,0.9824
219,426,the exterior of the building and the hostel are well decorated but the building itself is a bit older,the exterior of the building and the hostel are well decorated,"building,hostel",well decorated,Branding,Positive,0.9971
220,426,the exterior of the building and the hostel are well decorated but the building itself is a bit older,the building itself is a bit older,building,a bit older,Branding,Negative,0.7111
221,429,everything dinh is a very hospitable host who knows how to welcome you and make your stay the best possible the apartment is top notch the air conditioning works well the pool is amazing with an exceptional view,everything dinh is a very hospitable host who knows how to welcome you and make your stay the best possible,host,"hospitable,welcome,make your stay the best possible",Service,Positive,0.9848
222,429,everything dinh is a very hospitable host who knows how to welcome you and make your stay the best possible the apartment is top notch the air conditioning works well the pool is amazing with an exceptional view,the apartment is top notch,apartment,top notch,Branding,Positive,0.9957
223,429,everything dinh is a very hospitable host who knows how to welcome you and make your stay the best possible the apartment is top notch the air conditioning works well the pool is amazing with an exceptional view,the air conditioning works well,air conditioning,works well,Facility,Positive,0.9944
224,429,everything dinh is a very hospitable host who knows how to welcome you and make your stay the best possible the apartment is top notch the air conditioning works well the pool is amazing with an exceptional view,the pool is amazing with an exceptional view,pool,"amazing, exceptional view",Facility,Positive,0.9874
225,431,everything was perfect,everything was perfect,,perfect,Experience,Positive,0.9941
226,437,i ll say it again friendly host,i ll say it again,,again,Loyalty,Positive,0.9339
